UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN
483647,R,9,R,0,R,9,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,0,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,3,R,0,R,0,R,0,R,2,R,0,R,2,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,9.0
483708,R,657,R,90,R,567,R,4,R,0,R,4,R,52,R,7,R,45,R,440,R,59,R,381,R,110,R,14,R,96,R,0,R,0,R,0,R,35,R,7,R,28,R,4,R,0,R,4,R,11,R,3,R,8,R,1,R,0,R,1,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,657.0
483726,R,6,R,0,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,0,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,6.0
483735,R,48,R,1,R,47,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,4,R,1,R,3,R,26,Z,0,R,26,Z,0,Z,0,Z,0,R,14,Z,0,R,14,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,48.0
483744,R,23,R,19,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,16,R,15,R,1,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,23.0,A,,R,23.0,A,,A,,A,,R,23,A,,R,23.0,R,0.0
483753,R,25,R,20,R,5,R,0,R,0,R,0,R,1,R,1,R,0,R,11,R,10,R,1,R,8,R,6,R,2,R,0,R,0,R,0,R,4,R,3,R,1,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,25.0
483780,R,260,R,158,R,102,Z,0,Z,0,Z,0,R,9,R,4,R,5,R,3,Z,0,R,3,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,245,R,153,R,92,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,260.0
483799,R,22,R,8,R,14,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,21,R,8,R,13,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,22.0
483814,R,364,R,28,R,336,R,2,R,0,R,2,R,23,R,0,R,23,R,291,R,23,R,268,R,22,R,2,R,20,R,1,R,0,R,1,R,12,R,1,R,11,R,12,R,2,R,10,R,1,R,0,R,1,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,364.0
483823,R,409,R,307,R,102,Z,0,Z,0,Z,0,R,2,R,2,Z,0,R,363,R,269,R,94,R,33,R,28,R,5,Z,0,Z,0,Z,0,R,9,R,6,R,3,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,409.0
483841,R,92,R,7,R,85,R,0,R,0,R,0,R,90,R,6,R,84,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,1,R,1,R,0.0,R,0.0,R,0.0,A,,A,,A,,R,0,R,0.0,R,0.0,R,92.0
483850,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,S,,S,,A,,A,,A,,R,0,S,,S,,S,
483869,R,583,R,148,R,435,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,583,R,148,R,435,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,R,0.0,R,0.0,A,,A,,A,,R,0,R,0.0,R,0.0,R,583.0
483878,R,76,R,17,R,59,R,2,R,0,R,2,R,9,R,2,R,7,R,18,R,1,R,17,R,27,R,7,R,20,R,1,R,0,R,1,R,2,R,2,R,0,R,1,R,1,R,0,R,11,R,2,R,9,R,5,R,2,R,3,R,0.0,S,,S,,A,,A,,A,,R,0,S,,S,,S,
483887,R,40,R,6,R,34,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,15,R,1,R,14,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,22,R,3,R,19,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,0.0,S,,S,,A,,A,,A,,R,0,S,,S,,S,
483896,R,204,R,10,R,194,R,1,R,0,R,1,R,4,R,0,R,4,R,84,R,4,R,80,R,19,R,0,R,19,R,0,R,0,R,0,R,92,R,5,R,87,R,3,R,1,R,2,R,1,R,0,R,1,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,204.0
483911,R,13,R,0,R,13,R,0,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,1,R,0,R,1,R,0,R,0,Z,0,R,10,R,0,R,10,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,13.0
483920,R,137,R,71,R,66,R,0,R,0,R,0,R,1,R,0,R,1,R,113,R,55,R,58,R,9,R,8,R,1,R,0,R,0,R,0,R,11,R,6,R,5,R,2,R,1,R,1,R,1,R,1,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,137.0
