UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN
365505,R,18,R,3,R,15,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,2,R,0,R,2,R,0,R,0,R,0,R,15,R,3,R,12,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,18.0
365693,R,130,Z,0,R,130,R,1,Z,0,R,1,R,2,Z,0,R,2,R,7,Z,0,R,7,R,17,Z,0,R,17,R,0,Z,0,R,0,R,98,Z,0,R,98,R,5,Z,0,R,5,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,130.0
365763,R,35,R,9,R,26,Z,0,Z,0,Z,0,R,4,R,2,R,2,R,16,R,3,R,13,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,8,R,1,R,7,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,R,0.0,R,0.0,Z,0.0,S,,S,,R,0,S,,S,,S,
365824,R,92,R,5,R,87,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,16,Z,0,R,16,R,8,R,1,R,7,Z,0,Z,0,Z,0,R,38,R,2,R,36,R,2,Z,0,R,2,R,27,R,2,R,25,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,92.0
365833,R,106,R,6,R,100,Z,0,Z,0,Z,0,R,3,Z,0,R,3,R,25,R,1,R,24,R,10,R,1,R,9,R,1,Z,0,R,1,R,25,R,1,R,24,R,3,Z,0,R,3,R,39,R,3,R,36,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,106.0
366003,R,60,R,18,R,42,R,0,R,0,R,0,R,0,R,0,R,0,R,8,R,4,R,4,R,5,R,1,R,4,R,0,R,0,R,0,R,9,R,3,R,6,R,0,R,0,R,0,R,2,R,2,R,0,R,36,R,8,R,28,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0,R,0.0,R,0.0,R,60.0
366155,R,9,R,3,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,2,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,9.0
366191,R,645,R,626,R,19,R,3,R,2,R,1,R,11,R,11,R,0,R,45,R,43,R,2,R,252,R,245,R,7,R,1,R,1,R,0,R,256,R,248,R,8,R,58,R,57,R,1,R,19,R,19,R,0,R,0,R,0,R,0,R,1.0,R,0.0,R,1.0,Z,0.0,A,,Z,0.0,R,1,R,0.0,R,1.0,R,644.0
366252,R,1195,R,768,R,427,R,4,R,2,R,2,R,22,R,8,R,14,R,31,R,16,R,15,R,56,R,30,R,26,Z,0,Z,0,Z,0,R,1035,R,679,R,356,R,34,R,23,R,11,R,12,R,10,R,2,R,1,Z,0,R,1,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,1195.0
366261,R,166,R,53,R,113,R,1,R,0,R,1,R,0,R,0,R,0,R,33,R,11,R,22,R,28,R,12,R,16,R,0,R,0,R,0,R,104,R,30,R,74,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,166.0
366270,R,132,R,2,R,130,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,105,R,2,R,103,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,19,Z,0,R,19,R,7,Z,0,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,132.0
366289,R,9,R,8,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,5,Z,0,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0,R,0.0,R,0.0,R,9.0
366340,R,48,R,10,R,38,R,43,R,10,R,33,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,0,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,48.0
366368,R,53,R,17,R,36,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,5,R,2,R,3,R,5,R,1,R,4,Z,0,Z,0,Z,0,R,19,R,5,R,14,R,0,Z,0,R,0,R,11,R,6,R,5,R,12,R,3,R,9,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0,R,0.0,R,0.0,R,53.0
366395,R,2878,R,1238,R,1640,R,8,R,3,R,5,R,109,R,56,R,53,R,200,R,83,R,117,R,883,R,337,R,546,R,3,R,1,R,2,R,1534,R,692,R,842,R,75,R,35,R,40,R,55,R,29,R,26,R,11,R,2,R,9,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,2878.0
366401,R,851,R,375,R,476,R,3,R,1,R,2,R,176,R,77,R,99,R,30,R,8,R,22,R,242,R,100,R,142,R,6,R,5,R,1,R,296,R,142,R,154,R,75,R,27,R,48,R,15,R,10,R,5,R,8,R,5,R,3,R,13.0,R,0.0,R,13.0,R,0.0,R,0.0,R,0.0,R,13,R,0.0,R,13.0,R,838.0
366465,R,780,R,281,R,499,R,2,R,1,R,1,R,2,Z,0,R,2,R,296,R,86,R,210,R,63,R,33,R,30,R,1,Z,0,R,1,R,387,R,149,R,238,R,26,R,10,R,16,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,780.0
366535,R,121,R,15,R,106,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,79,R,10,R,69,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,36,R,2,R,34,R,1,Z,0,R,1,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,121.0
366553,R,701,R,239,R,462,R,5,R,4,R,1,R,11,R,5,R,6,R,142,R,46,R,96,R,100,R,36,R,64,R,4,R,1,R,3,R,371,R,119,R,252,R,36,R,12,R,24,R,31,R,16,R,15,R,1,Z,0,R,1,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,701.0
