UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL,cluster,similarity
126863,0.4849246231155779,0.33,0.1739915713425647,1.581614917,8833,Far Cluster,0.25295267326256893
228608,0.5252659574468085,0.32,0.2006825938566553,1.780380573,5274,Far Cluster,0.24225160037750482
105145,,0.29,0.285863147,1.675896897,5553,Far Cluster,0.24108861708043416
161545,0.5488911290322581,0.28,0.2897278314310799,1.48482114,7900,Far Cluster,0.21706091872311034
172963,0.5284715284715285,0.3,0.2572564612326043,1.457440115,8486,Far Cluster,0.21212500217392805
101505,0.5285285285285285,0.26,0.2211564082067679,1.419186099,9240,Far Cluster,0.2017531083600174
155292,0.4810951760104302,0.42,0.3231984998660595,1.678111152,5014,Far Cluster,0.19840950627682263
221184,0.445216049382716,0.18,0.2453120196741469,1.592088255,7533,Far Cluster,0.19063938289914317
364016,,0.19,0.2429660023446659,1.614568212,6148,Far Cluster,0.16775428870391176
230418,0.4096385542168674,0.43,0.269367448471926,,7594,Far Cluster,0.16267479163181267
218830,0.5566583953680728,0.28,0.2670157068062827,1.477620282,6653,Far Cluster,0.1313244659357998
174136,0.5010141987829615,0.2,0.2592844974446337,1.502175854,6733,Far Cluster,0.12552644129232743
233754,0.4934497816593886,0.34,0.216655607166556,1.509240015,6410,Far Cluster,0.11077605141058752
112385,0.311886587,0.34,0.1609791216702663,1.334295908,9008,Far Cluster,0.08696528382327298
118772,0.3234836702954899,0.26,0.2083333333333333,1.428250087,7022,Far Cluster,0.05114906855512584
194222,0.5166666666666667,0.27,0.2323798289590091,1.17875959,8537,Far Cluster,0.03909425419567236
166887,0.5110683349374399,0.23,0.2326887086712414,1.059982981,9374,Far Cluster,0.02346139758409088
174376,0.5444617784711389,0.22,0.2571676802780191,1.453804617,5563,Far Cluster,0.013841511939131773
219824,0.5375677769171185,0.26,0.2932511133949982,1.175483451,7623,Far Cluster,-0.01509047602885527
167534,0.5517241379310345,0.22,0.3189131212012871,1.140673797,7811,Far Cluster,-0.01776648936557146
184481,0.5101596516690856,0.2,0.2184592482322292,1.223490832,7026,Far Cluster,-0.03167301207622697
207670,,0.2,0.1607779578606158,1.125059597,7758,Far Cluster,-0.038651905543559184
221485,0.4089852827265685,0.19,0.2033306473274241,1.167919914,7004,Far Cluster,-0.05753420834281267
226408,,0.31,0.3383297644539614,1.424625391,5127,Far Cluster,-0.06472236281870458
209038,,0.2,0.2070404172099087,1.181425002,6810,Far Cluster,-0.07074003090663591
