UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL
203599,0.5824964131994261,0.24,0.22010984368398817,1.532784328,4358
203720,0.7647058823529411,0.73,0.6094420600858369,,224
203739,,0.75,0.5909090909090909,,22
203748,,0.31,0.3039443155452436,1.614264518,9350
204839,0.5353535353535354,0.21,0.38823529411764707,1.374914223,1716
204945,0.5548841893252769,0.35,0.4042979037185294,1.538817591,7854
205179,,0.44,0.43100511073253833,,547
205391,,0.69,0.5490196078431373,,214
205841,0.4473684210526316,0.23,0.2856470588235294,2.781103819,10128
207670,,0.2,0.16077795786061588,1.125059597,7758
208318,0.5558546433378196,0.25,0.2564102564102564,1.000905691,4332
208406,0.5330549756437022,0.23,0.3084753263996459,0.76834652,5545
209038,,0.2,0.20704041720990873,1.181425002,6810
209074,0.5263157894736842,0.29,0.16700259141952203,0.762002173,5242
209250,,0.24,0.23773923444976078,0.971913447,6476
209940,0.4563206577595067,0.09,0.20471535365152385,1.086252381,4009
211079,0.5130718954248366,0.12,0.30096051227321235,0.907302775,1936
212869,0.4748603351955307,0.44,0.5402124430955993,,908
213181,0.7391304347826086,0.64,0.7124183006535948,,335
213233,0.7433628318584071,0.55,0.5802919708029197,,678
213473,,0.85,0.8535031847133758,,93
213534,,0.76,0.4839067702552719,,556
213589,,0.58,0.5107296137339056,,345
213659,0.5442092154420921,0.23,0.23854069223573432,0.729810713,4460
214582,0.3333333333333333,0.21,0.47661188369152974,,810
214944,0.3626760563380282,0.84,,,771
215390,0.8275862068965517,0.89,0.5594059405940595,,374
215585,0.5486033519553073,0.34,0.20715166461159062,1.170683924,5369
216083,0.810126582,0.73,0.6353383458646616,,260
216296,0.748898678,0.71,0.6481149012567325,1.179678642,1470
216551,,0.96,0.3373493975903614,,97
216825,0.5786163522012578,0.31,0.25045153521974717,0.993222117,3990
217615,0.45373665480427045,0.34,0.2753846153846154,1.695756918,2307
217712,0.47890818858560796,0.18,0.16938110749185667,1.083419236,2461
218140,0.5708502024291497,0.38,0.3295644891122278,1.845553686,7923
218690,0.5899280575539568,0.39,0.2814070351758794,0.923838987,1845
218821,,0.43,0.34408602150537637,,1119
218830,0.5566583953680728,0.28,0.2670157068062827,1.477620282,6653
218858,0.4377880184331797,0.34,0.24114173228346455,2.001123965,2825
218885,0.5400696864111498,0.42,0.3964063072973964,2.602343873,5890
218991,0.5245283018867924,0.3,0.27657378740970073,2.071255012,4771
219426,0.7250889679715302,0.59,0.6330935251798561,2.073821389,2659
219480,0.6268656716417911,0.54,0.4683760683760684,1.789280464,1164
219824,0.5375677769171185,0.26,0.29325111339499826,1.175483451,7623
219879,0.5135520684736091,0.37,0.33121019108280253,1.927462605,3282
220400,0.5170876671619614,0.26,0.2776659959758551,1.727306186,3518
220464,0.6111111111111112,0.38,0.7162162162162162,,166
221184,0.44521604938271603,0.18,0.24531201967414695,1.592088255,7533
221485,0.40898528272656853,0.19,0.20333064732742412,1.167919914,7004
222053,0.5005787037037037,0.28,0.2768392370572207,1.848185903,6963
222062,0.5287595287595288,0.33,0.3699029126213592,1.743568208,5899
222105,0.5089820359281437,0.5,0.6944444444444444,,468
222567,,0.24,0.3046523261630815,1.749711945,5872
224271,0.6836158192090396,0.33,0.8333333333333334,,454
224961,,0.33,0.3525,1.685276778,2405
226116,0.6186440677966102,0.45,0.3336898395721925,1.451366725,4680
226204,0.5806878306878307,0.53,0.5494537939179215,4.425373805,8323
226408,,0.31,0.33832976445396146,1.424625391,5127
226578,0.6466302367941712,0.39,0.2601102941176471,1.486127602,7850
227304,0.5903846153846154,0.37,0.2284234752589183,2.094094609,9981
